acreage_id,policy_id,farm_no,tract_no,field_no,crop_code,reported_acres,approved_yield,price_election
A2001,CP1001,F01,T01,FL01,CORN,420,182,5.1
A2002,CP1001,F01,T01,FL02,CORN,180,175,5.1
A2003,CP1002,F02,T02,FL01,SOY,350,58,12.4
A2004,CP1003,F03,T03,FL01,WHEAT,510,44,6.8
A2005,CP1004,F04,T04,FL01,COTTON,275,820,0.84
A2006,CP1005,F05,T05,FL01,CORN,600,190,5.1
A2007,CP1006,F06,T06,FL01,SOY,440,54,12.4
A2008,CP1007,F07,T07,FL01,WHEAT,380,46,6.8
A2009,CP1008,F08,T08,FL01,CORN,500,188,5.1
A2010,CP1999,F99,T99,FL99,CORN,100,170,5.1
